Date,Status,Outer,Current_rating,Previous_rating,Previous_price,Current_price
2023-01-31,Reiterated,BofA Securities,Buy,Buy,116,119
2022-10-11,Reiterated,Credit Suisse,Outperform,Outperform,140,134
2022-07-18,Reiterated,MKM Partners,Buy,Buy,165,140
2022-07-13,Reiterated,Cowen,Outperform,Outperform,3200,3000
2022-03-11,Initiated,Deutsche Bank,Buy,Buy,3150,3150
2022-02-02,Reiterated,Monness Crespi & Hardt,Buy,Buy,3660,3850
2022-02-02,Reiterated,Cowen,Outperform,Outperform,3500,3600
2022-02-02,Reiterated,Canaccord Genuity,Buy,Buy,3350,3500
2021-10-01,Initiated,RBC Capital Mkts,Outperform,Outperform,3400,3400
2021-07-28,Reiterated,Wolfe Research,Outperform,Outperform,2900,3400
2021-07-28,Reiterated,Truist,Buy,Buy,2800,3100
2021-07-28,Reiterated,Susquehanna,Positive,Positive,3100,3600
2021-07-28,Reiterated,Stifel,Buy,Buy,2700,3000
2021-07-28,Reiterated,Raymond James,Outperform,Outperform,2750,3200
2021-07-28,Reiterated,Piper Sandler,Overweight,Overweight,2635,3034
2021-07-28,Reiterated,Oppenheimer,Outperform,Outperform,2510,3000
2021-07-28,Reiterated,Needham,Buy,Buy,2700,3200
2021-07-28,Reiterated,Morgan Stanley,Overweight,Overweight,2575,3000
2021-07-28,Reiterated,Mizuho,Buy,Buy,2800,3000
2021-07-28,Reiterated,KeyBanc Capital Markets,Overweight,Overweight,2681,3071
