Date,Status,Outer,Previous_ratting,Current_ratting,Previous_price,Current_price
2023-01-25,Downgrade,BMO Capital Markets,Outperform,Market Perform,267,265
2023-01-17,Downgrade,Guggenheim,Neutral,Sell,212,212
2023-01-05,Initiated,DA Davidson,Buy,Buy,270,270
2023-01-04,Downgrade,UBS,Buy,Neutral,300,250
2022-11-02,Initiated,Macquarie,Neutral,Neutral,234,234
2022-10-14,Reiterated,Morgan Stanley,Overweight,Overweight,354,325
2022-09-30,Resumed,Raymond James,Outperform,Outperform,300,300
2022-09-22,Initiated,MoffettNathanson,Hold,Hold,285,285
2022-08-12,Initiated,Guggenheim,Neutral,Neutral,292,292
2022-07-27,Reiterated,Wedbush,Outperform,Outperform,340,320
2022-07-27,Reiterated,Stifel,Buy,Buy,320,300
2022-07-27,Reiterated,Deutsche Bank,Buy,Buy,350,330
2022-07-27,Reiterated,Cowen,Outperform,Outperform,330,320
2022-07-27,Reiterated,Citigroup,Buy,Buy,330,300
2022-07-27,Reiterated,BMO Capital Markets,Outperform,Outperform,305,320
2022-07-26,Initiated,Itau BBA,Outperform,Outperform,287,287
2022-07-19,Reiterated,Citigroup,Buy,Buy,364,330
2022-06-29,Initiated,Redburn,Buy,Buy,370,370
2022-04-27,Reiterated,Wolfe Research,Outperform,Outperform,330,350
2022-04-27,Reiterated,Wedbush,Outperform,Outperform,375,340
